year,month,day,hour,monthdayhour,DegreeF,DegreeC
2014,1,1,0,010100,14,-10
2014,1,1,1,010101,14,-10
2014,1,1,2,010102,12.2,-11
2014,1,1,3,010103,12.2,-11
2014,1,1,4,010104,12.2,-11
2014,1,1,5,010105,12.2,-11
2014,1,1,6,010106,10.4,-12
2014,1,1,7,010107,12.2,-11
2014,1,1,8,010108,10.4,-12
2014,1,1,9,010109,12.2,-11
2014,1,1,10,010110,14,-10
2014,1,1,11,010111,12.2,-11
2014,1,1,12,010112,10.4,-12
2014,1,1,13,010113,10.4,-12
2014,1,1,14,010114,8.6,-13
2014,1,1,15,010115,8.6,-13
2014,1,1,16,010116,8.6,-13
2014,1,1,17,010117,6.8,-14
2014,1,1,18,010118,5,-15
2014,1,1,19,010119,5,-15
2014,1,1,20,010120,6.8,-14
2014,1,1,21,010121,5,-15
2014,1,1,22,010122,5,-15
2014,1,1,23,010123,5,-15
2014,1,2,0,010200,5,-15
2014,1,2,1,010201,5,-15
2014,1,2,2,010202,3.2,-16
2014,1,2,3,010203,3.2,-16
2014,1,2,4,010204,3.2,-16
2014,1,2,5,010205,1.4,-17
2014,1,2,6,010206,1.4,-17
2014,1,2,7,010207,1.4,-17
2014,1,2,8,010208,-0.4,-18
2014,1,2,9,010209,-0.4,-18
2014,1,2,10,010210,-0.4,-18
2014,1,2,11,010211,-0.4,-18
2014,1,2,12,010212,-0.4,-18
2014,1,2,13,010213,-0.4,-18
2014,1,2,14,010214,-0.4,-18
2014,1,2,15,010215,-0.4,-18
2014,1,2,16,010216,-2.2,-19
2014,1,2,16,010216,-2.2,-19
2014,1,2,17,010217,-2.2,-19
2014,1,2,18,010218,-0.4,-18
2014,1,2,19,010219,-0.4,-18
2014,1,2,20,010220,-0.4,-18
2014,1,2,21,010221,-0.4,-18
2014,1,2,22,010222,-0.4,-18
2014,1,2,23,010223,-2.2,-19
2014,1,3,0,010300,-2.2,-19
2014,1,3,1,010301,-4,-20
2014,1,3,2,010302,-5.8,-21
